,Unnamed: 0,pop,deaths,edu,employ,MME,strat,income,religion,HIV,depression
40,SD,865454.0,5.0,27.8,3.0,569.7886049678884,1,53746,0.59,4.3,4
34,OH,11614373.0,32.9,27.2,5.0,776.911474624195,4,51610,0.58,8.8,4
1,AK,741894.0,12.5,29.0,6.9,757.6506955085102,4,76440,0.45,3.9,3
41,TN,6651194.0,18.1,26.1,4.7,868.6408411900132,5,47818,0.73,10.3,5
6,CT,3576452.0,24.5,38.4,5.1,644.4168851926719,2,73433,0.43,7.4,5
11,ID,1683140.0,7.4,26.8,3.8,829.843540534393,4,48728,0.51,2.7,5
33,ND,757952.0,7.6,28.9,3.1,610.0864005827345,1,60944,0.53,4.8,5
3,AR,2988248.0,5.9,22.0,4.0,922.8335752490756,5,44334,0.7,9.7,5
23,MS,2988726.0,6.2,21.3,5.8,739.729549597866,3,40910,0.77,14.3,4
16,KY,4436974.0,23.6,23.2,5.1,904.4018486951576,5,45541,0.63,7.9,5
47,WV,1831102.0,43.4,19.9,6.1,904.5276534542633,5,42620,0.69,4.3,5
13,IN,6633053.0,12.6,25.3,4.4,1074.4919720581356,5,50896,0.54,7.8,4
42,TX,27862596.0,4.9,28.7,4.6,522.6928169031074,1,56139,0.64,15.4,4
24,MO,6093000.0,15.9,28.2,4.6,797.4826650614045,4,50642,0.6,8.3,5
48,WI,5778708.0,15.8,29.0,4.0,648.2320162038246,2,56115,0.45,4.5,4
17,LA,4681666.0,7.7,23.4,6.1,692.0305160425747,3,46106,0.71,22.1,5
7,DE,952065.0,16.9,31.0,4.5,1028.3672432828776,5,61757,0.52,13.0,5
4,CA,39250017.0,4.9,32.6,5.5,462.578769445663,1,67739,0.49,11.4,4
43,UT,3051217.0,16.4,32.5,3.4,691.4706052258937,2,63794,0.64,3.4,6
27,NV,2940058.0,13.3,23.7,5.7,708.9838731392492,3,53320,0.49,16.5,3
14,IA,3134693.0,6.2,27.7,3.6,762.417407452612,4,55172,0.55,4.0,5
19,MD,6016447.0,29.7,39.0,4.5,707.1539214712053,3,76596,0.54,17.0,4
21,MI,9928300.0,18.5,28.1,5.0,963.3947839599202,5,51584,0.53,7.8,5
38,RI,1056426.0,26.7,33.0,5.2,608.3542926012924,1,58826,0.49,7.8,6
5,CO,5540545.0,9.5,39.4,3.2,618.7235606021876,2,65685,0.47,7.9,3
37,PA,12784227.0,18.5,30.1,5.4,706.0286575796998,3,56207,0.53,8.5,4
18,ME,1331479.0,25.2,30.3,3.8,712.2554399603415,3,52111,0.34,2.2,6
44,VT,624594.0,18.4,36.8,3.2,675.2005156788167,2,57565,0.34,3.0,5
39,SC,4961119.0,13.1,27.0,5.0,822.050092764865,4,47790,0.7,14.3,4
29,NJ,8944469.0,16.0,38.1,5.0,615.5194261298304,2,73242,0.55,12.3,4
45,VA,8411808.0,13.5,37.6,4.1,623.5238525468313,2,66916,0.61,10.3,4
32,NC,10146788.0,15.4,29.9,5.1,750.6273940822588,4,48420,0.65,12.8,5
20,MA,6811779.0,29.7,42.1,3.9,568.8080003404617,1,71146,0.33,8.8,5
10,HI,1428557.0,5.2,32.0,3.0,445.7338808991771,1,74451,0.47,5.7,2
46,WA,7288000.0,9.4,34.5,5.3,701.3723002816637,3,64764,0.45,6.0,5
22,MN,5519952.0,7.4,34.8,3.9,450.75459832867705,1,64188,0.49,5.0,6
49,WY,585501.0,8.7,26.7,5.3,622.5835966728853,2,60570,0.54,1.7,3
8,FL,20612439.0,14.4,28.5,4.8,728.0071921924119,3,50860,0.54,22.9,4
36,OR,4093465.0,7.6,32.3,4.8,819.4555256093021,4,54748,0.48,4.8,5
28,NH,1334795.0,35.8,36.0,2.9,922.101338823114,5,70813,0.33,2.5,5
