,Unnamed: 0,pop,deaths,edu,employ,MME,strat,income,religion,HIV,depression
41,TN,6651194.0,18.1,26.1,4.7,868.6408411900132,5,47818,0.73,10.3,5
40,SD,865454.0,5.0,27.8,3.0,569.7886049678884,1,53746,0.59,4.3,4
1,AK,741894.0,12.5,29.0,6.9,757.6506955085102,4,76440,0.45,3.9,3
11,ID,1683140.0,7.4,26.8,3.8,829.843540534393,4,48728,0.51,2.7,5
6,CT,3576452.0,24.5,38.4,5.1,644.4168851926719,2,73433,0.43,7.4,5
20,MA,6811779.0,29.7,42.1,3.9,568.8080003404617,1,71146,0.33,8.8,5
37,PA,12784227.0,18.5,30.1,5.4,706.0286575796998,3,56207,0.53,8.5,4
34,OH,11614373.0,32.9,27.2,5.0,776.911474624195,4,51610,0.58,8.8,4
5,CO,5540545.0,9.5,39.4,3.2,618.7235606021876,2,65685,0.47,7.9,3
49,WY,585501.0,8.7,26.7,5.3,622.5835966728853,2,60570,0.54,1.7,3
8,FL,20612439.0,14.4,28.5,4.8,728.0071921924119,3,50860,0.54,22.9,4
45,VA,8411808.0,13.5,37.6,4.1,623.5238525468313,2,66916,0.61,10.3,4
7,DE,952065.0,16.9,31.0,4.5,1028.3672432828776,5,61757,0.52,13.0,5
26,NE,1907116.0,2.4,30.6,3.1,512.1612091487503,1,55474,0.54,4.6,4
30,NM,2081015.0,17.5,26.9,6.6,651.7169082286491,2,45710,0.57,5.5,4
21,MI,9928300.0,18.5,28.1,5.0,963.3947839599202,5,51584,0.53,7.8,5
25,MT,1042520.0,4.2,30.7,4.1,802.9658607045718,4,49924,0.48,3.0,5
29,NJ,8944469.0,16.0,38.1,5.0,615.5194261298304,2,73242,0.55,12.3,4
10,HI,1428557.0,5.2,32.0,3.0,445.7338808991771,1,74451,0.47,5.7,2
23,MS,2988726.0,6.2,21.3,5.8,739.729549597866,3,40910,0.77,14.3,4
43,UT,3051217.0,16.4,32.5,3.4,691.4706052258937,2,63794,0.64,3.4,6
35,OK,3923561.0,11.6,24.8,4.8,895.8506564948332,5,49062,0.66,7.7,5
17,LA,4681666.0,7.7,23.4,6.1,692.0305160425747,3,46106,0.71,22.1,5
24,MO,6093000.0,15.9,28.2,4.6,797.4826650614045,4,50642,0.6,8.3,5
13,IN,6633053.0,12.6,25.3,4.4,1074.4919720581356,5,50896,0.54,7.8,4
9,GA,10310371.0,8.8,29.9,5.4,743.5112468863845,3,51753,0.66,24.9,4
38,RI,1056426.0,26.7,33.0,5.2,608.3542926012924,1,58826,0.49,7.8,6
47,WV,1831102.0,43.4,19.9,6.1,904.5276534542633,5,42620,0.69,4.3,5
28,NH,1334795.0,35.8,36.0,2.9,922.101338823114,5,70813,0.33,2.5,5
12,IL,12801539.0,15.3,33.4,5.8,693.5843413534509,3,60094,0.51,9.9,4
39,SC,4961119.0,13.1,27.0,5.0,822.050092764865,4,47790,0.7,14.3,4
46,WA,7288000.0,9.4,34.5,5.3,701.3723002816637,3,64764,0.45,6.0,5
48,WI,5778708.0,15.8,29.0,4.0,648.2320162038246,2,56115,0.45,4.5,4
22,MN,5519952.0,7.4,34.8,3.9,450.75459832867705,1,64188,0.49,5.0,6
16,KY,4436974.0,23.6,23.2,5.1,904.4018486951576,5,45541,0.63,7.9,5
31,NY,19745289.0,15.1,35.3,4.9,591.885189986411,1,61311,0.46,14.0,4
2,AZ,6931071.0,11.4,28.4,5.4,849.2371723827333,4,53558,0.53,10.9,3
36,OR,4093465.0,7.6,32.3,4.8,819.4555256093021,4,54748,0.48,4.8,5
33,ND,757952.0,7.6,28.9,3.1,610.0864005827345,1,60944,0.53,4.8,5
18,ME,1331479.0,25.2,30.3,3.8,712.2554399603415,3,52111,0.34,2.2,6
